camera_id,year,month,accidents
DEI-009/CAM-02,2020,10,110
DEI-009/CAM-02,2020,11,110
DEI-009/CAM-02,2020,12,103
DEI-009/CAM-02,2021,1,70
DEI-009/CAM-02,2021,2,80
DEI-009/CAM-02,2021,3,122
DEI-009/CAM-02,2021,4,91
DEI-009/CAM-02,2021,5,82
DEI-009/CAM-02,2021,6,123
DEI-009/CAM-02,2021,7,98
DEI-009/CAM-02,2021,8,93
DEI-009/CAM-02,2021,9,111
DEI-009/CAM-02,2021,10,127
DEI-009/CAM-02,2021,11,123
DEI-009/CAM-02,2021,12,107
DEI-009/CAM-02,2022,1,130
DEI-009/CAM-02,2022,2,139
DEI-009/CAM-02,2022,3,146
DEI-009/CAM-02,2022,4,131
DEI-009/CAM-02,2022,5,135
DEI-009/CAM-02,2022,6,138
DEI-009/CAM-02,2022,7,137
DEI-009/CAM-02,2022,8,108
DEI-009/CAM-02,2022,9,136
DEI-009/CAM-02,2022,10,71
DEI-009/CAM-02,2022,11,61
DEI-009/CAM-02,2022,12,57
DEI-010/CAM-01,2019,1,9
DEI-010/CAM-01,2019,2,7
DEI-010/CAM-01,2019,3,16
DEI-010/CAM-01,2019,4,15
DEI-010/CAM-01,2019,5,13
DEI-010/CAM-01,2019,6,14
DEI-010/CAM-01,2019,7,15
DEI-010/CAM-01,2019,8,20
DEI-010/CAM-01,2019,9,18
DEI-010/CAM-01,2019,10,14
DEI-010/CAM-01,2019,11,21
DEI-010/CAM-01,2019,12,15
DEI-010/CAM-01,2020,1,8
DEI-010/CAM-01,2020,2,10
DEI-010/CAM-01,2020,3,8
DEI-010/CAM-01,2020,4,2
DEI-010/CAM-01,2020,5,5
DEI-010/CAM-01,2020,6,8
DEI-010/CAM-01,2020,7,6
DEI-010/CAM-01,2020,8,5
DEI-010/CAM-01,2020,9,9
DEI-010/CAM-01,2020,10,15
DEI-010/CAM-01,2020,11,7
DEI-010/CAM-01,2020,12,9
DEI-010/CAM-01,2021,1,9
